id,subject,grade,accesses,mean_clicks_per_access,sd_clicks,median_time_per_access,total_time,forum_views
5068,R and the Enlightenment,0.47439285714285717,36,7.777777777777778,10.3485295328401,25.5s,52259s (~14.52 hours),5
5546,R and the Enlightenment,0.804,73,14.534246575342467,12.3660401815492,489s (~8.15 minutes),158457s (~1.83 days),11
4916,R and the Enlightenment,0.8025142857142857,44,13.090909090909092,12.9360109983597,290s (~4.83 minutes),98293.0680000782s (~1.14 days),52
4140,R and the Enlightenment,0.66,27,16.22222222222222,18.1496627078923,146s (~2.43 minutes),77495s (~21.53 hours),51
5740,R and the Enlightenment,0.7483809523809524,30,18.4,26.389130468747,293.5s (~4.89 minutes),139375s (~1.61 days),48
3865,R and the Enlightenment,0.68,72,13.444444444444445,13.5406418897186,749s (~12.48 minutes),200646.757999897s (~2.32 days),37
6679,R and the Enlightenment,0.8243928571428571,61,14.737704918032787,18.3020050261752,310s (~5.17 minutes),230897s (~2.67 days),92
5776,R and the Enlightenment,0.6133333333333334,30,12.133333333333333,18.8308868312296,45s,44340s (~12.32 hours),0
5428,R and the Enlightenment,0.8058571428571428,59,10.305084745762711,15.7471992444504,38s,191158s (~2.21 days),0
5701,R and the Enlightenment,0.54,18,21.333333333333332,25.9456445398498,1018.5s (~16.98 minutes),38128s (~10.59 hours),17
5285,R and the Enlightenment,0.7633333333333333,59,7.610169491525424,11.9914005813254,14s,54459s (~15.13 hours),30
4607,R and the Enlightenment,0.821,58,8.431034482758621,9.11546222320348,34.5s,67875.9229998589s (~18.85 hours),28
